Rank,Domain,Linking Root Domains,Domain Authority
177,fortune.com,"2,18,240",93
178,instagram.com,"1,79,37,713",93
179,clickbank.net,"3,74,027",93
180,godaddy.com,"25,23,593",93
181,cnbc.com,"3,30,143",93
182,goo.ne.jp,"2,94,517",93
183,nature.com,"3,82,718",93
184,addtoany.com,"6,47,560",93
185,plesk.com,"5,63,637",93
186,shutterstock.com,"2,01,188",93
187,yadi.sk,"1,57,492",93
188,gooyaabitemplates.com,"1,86,490",93
189,thesun.co.uk,"2,25,532",93
190,www.over-blog.com,"2,38,894",93
191,rtve.es,"1,33,642",93
192,abc.es,"1,47,351",93
193,depositfiles.com,"1,34,257",93
194,ytimg.com,"2,01,838",93
195,asus.com,"1,26,304",93
196,dw.com,"1,88,901",93
197,cpanel.com,"9,15,383",93
198,ovh.co.uk,"5,35,511",93
199,repubblica.it,"1,60,179",93
200,blackberry.com,"1,34,323",93
201,ru.wikipedia.org,"3,25,485",93
202,webmd.com,"4,68,896",93
203,gofundme.com,"2,15,619",93
204,mysql.com,"3,21,321",93
205,cornell.edu,"3,37,551",93
206,google.pl,"2,03,933",93
207,soundcloud.com,"14,79,372",93
208,sciencemag.org,"2,18,761",93
209,lemonde.fr,"2,10,508",93
210,pbs.org,"3,92,550",93
211,theglobeandmail.com,"2,08,303",93
212,ovh.com,"3,47,485",93
213,metro.co.uk,"1,53,331",93
214,wp.com,"8,84,451",93
215,wpfr.net,"1,44,970",93
216,bitly.com,"2,72,452",93
217,foursquare.com,"2,19,567",93
218,stackoverflow.com,"2,30,233",93
219,viglink.com,"2,55,467",93
220,imageshack.us,"7,64,207",93
221,loc.gov,"3,17,032",93
222,parallels.com,"5,75,885",93
223,ask.fm,"2,31,862",93
224,nokia.com,"1,52,629",93
225,yandex.ru,"8,93,769",93
226,php.net,"5,16,981",93
227,channel4.com,"1,40,454",93
228,nikkei.com,"1,35,656",93
229,netflix.com,"1,97,767",93
230,theverge.com,"2,56,303",93
231,about.com,"6,71,454",93
232,digg.com,"7,98,451",93
233,pixabay.com,"2,15,116",93
234,espn.com,"2,65,344",93
235,themeforest.net,"4,25,293",93
236,picasa.google.com,"2,35,581",93
237,mashable.com,"3,33,555",93
238,doubleclick.net,"7,02,185",93
239,usnews.com,"2,92,008",93
240,mega.nz,"1,22,252",93
241,bt.com,"1,47,617",93
242,alibaba.com,"3,44,503",93
243,quora.com,"2,58,159",93
244,allaboutcookies.org,"2,91,623",93
245,cambridge.org,"1,80,611",93
246,ucoz.ru,"1,87,668",93
247,ea.com,"1,43,280",93
248,express.co.uk,"1,84,813",93
249,ja.wikipedia.org,"3,02,570",93
250,ikea.com,"2,46,126",93
251,qq.com,"36,77,642",93
252,ggpht.com,"5,36,244",93
253,ig.com.br,"1,25,374",93
254,amazon.es,"1,21,214",93
255,instructables.com,"2,46,552",93
256,www.wikipedia.org,"4,42,517",93
257,pl.wikipedia.org,"1,24,346",93
258,naver.com,"3,67,715",93
259,lycos.com,"7,21,318",93
260,4shared.com,"4,78,049",93
261,gizmodo.com,"3,29,628",93
262,skype.com,"3,23,290",93
263,bit.ly,"34,99,518",93
264,bund.de,"4,77,471",93
265,welt.de,"1,53,458",93
